"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "XML", "HTML", "PHP", "JavaScript", "CSS", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\database\migrations\2022_08_06_081319_create_products_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 10, 4, 38
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\database\migrations\2022_08_07_135918_create_orders_table.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 10, 4, 36
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 11, 5, 25
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\lang\en\auth.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 10, 5, 21
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\lang\en\pagination.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 10, 5, 20
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\lang\en\passwords.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 5, 23
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\lang\en\validation.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 30, 9, 171
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\package.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 1, 32
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\public\index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 30, 12, 56
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 22, 8, 35
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\resources\views\welcome.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 20, 133
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\routes\api.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 10, 5, 33
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\routes\channels.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 10, 4, 19
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\routes\console.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 10, 4, 20
"c:\Users\avazs.LAPTOP-I4FB2CH8\StudioProjects\delivery_food_app_from_behance1\backend\routes\web.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 10, 4, 19
